hog	genes
N1.HOG0002993	CG10154,CG10140
N1.HOG0002994	CG10725
N1.HOG0002995	Cht4
N1.HOG0002996	Cht9
N1.HOG0002998	RpS14a,RpS14b
N1.HOG0003001	CG31388
N1.HOG0003003	CG1137,CG13168
N1.HOG0003040	Prosbeta5R1,Prosbeta5,Prosbeta5R2
N1.HOG0003042	NimB3
N1.HOG0003044	eater
N1.HOG0003047	Prosalpha4T2,Prosalpha4,Prosalpha4T1
N1.HOG0003050	CG3568
N1.HOG0003051	CG2909
N1.HOG0003052	CG42798
N1.HOG0003053	CG44090
N1.HOG0003054	CG34280
N1.HOG0003075	CG30428
N1.HOG0003076	Eig71Eb,Eig71Ec
N1.HOG0003077	CG43082,Eig71Eg,Eig71Ei,Eig71Ek
N1.HOG0003078	Oatp58Da,Oatp58Db
N1.HOG0003079	Cpr76Bb
N1.HOG0003080	Cpr76Ba
N1.HOG0003081	Arts,Apl
N1.HOG0003088	Prx2540-2,CG12896,Prx2540-1
N1.HOG0003093	CG9254
N1.HOG0003094	dmGlut
N1.HOG0003095	CG44008
N1.HOG0003096	Sfp33A3
N1.HOG0003097	CG45011,CG45012,CG31704
N1.HOG0003101	CG13678
N1.HOG0003110	Gr22f,Gr22e,Gr22c,Gr22a
N1.HOG0003111	CG1698
N1.HOG0003112	CG4476
N1.HOG0003113	CG8850
N1.HOG0003115	Ran
N1.HOG0003127	Ran-like
N1.HOG0003130	polyph,CG32081
N1.HOG0003131	Trf4-2
N1.HOG0003133	Trf4-1
N1.HOG0003135	RpS28a
N1.HOG0003136	RpS28-like
N1.HOG0003137	RpS28b
N1.HOG0003138	CG33286,CG12983,CG33287
N1.HOG0003152	Or85f
N1.HOG0003153	Or49a
N1.HOG0003154	Lcp9
N1.HOG0003157	Cpr47Eg
N1.HOG0003173	CG18596
N1.HOG0003175	GNBP2
N1.HOG0003176	CG7194
N1.HOG0003177	CG4017
N1.HOG0003178	CG17633
N1.HOG0003179	CG43796,CG13110,CG14391,CG31347
N1.HOG0003180	Ucp4C
N1.HOG0003181	Ucp4B
N1.HOG0003183	sut4,Glut3
N1.HOG0003229	CG12898,CG33477,CG33476
N1.HOG0003230	CG33475
N1.HOG0003231	Mst36Fb,CG43339,Mst36Fa,CG33322
N1.HOG0003235	CG16957
N1.HOG0003237	t-cup
N1.HOG0003238	MSBP
N1.HOG0003239	Mtch,CG10920
N1.HOG0003240	CG30148,CG12780,GNBP-like3
N1.HOG0003241	CG3491
N1.HOG0003242	sno
N1.HOG0003243	CG12766,CG10863
N1.HOG0003246	CG10638
N1.HOG0003247	CG34303
N1.HOG0003251	CG33758,CG33757
N1.HOG0003256	Nup93-1,Nup93-2
N1.HOG0003259	CG10550
N1.HOG0003260	CG17189
N1.HOG0003261	CG14259
N1.HOG0003265	CG32026
N1.HOG0003267	Idh3a
N1.HOG0003268	Or65a,Or65b,Or65c
N1.HOG0003269	Or47b
N1.HOG0003270	Or59a
N1.HOG0003271	Nepl6,Nepl8
N1.HOG0003272	PIG-N,CG4907,CG13978
N1.HOG0003273	CG1299
N1.HOG0003276	cag
N1.HOG0003319	Sgs3
N1.HOG0003320	CG11835
N1.HOG0003323	bic
N1.HOG0003325	Bace
N1.HOG0003330	scramb1
N1.HOG0003332	scramb2
N1.HOG0003334	Cyp4e2,Cyp4e3,Cyp4e1
N1.HOG0003335	CG15046
N1.HOG0003336	CG4367,CG4362
N1.HOG0003337	CG18417
N1.HOG0003341	CG8562
N1.HOG0003348	CG16985
N1.HOG0003349	CG16986
N1.HOG0003350	p38a,p38b,p38c
N1.HOG0003352	Ank
N1.HOG0003353	Ank2
N1.HOG0003354	CG9336,CG9338
N1.HOG0003355	CG4415,Nacalpha
N1.HOG0003357	CycB
N1.HOG0003358	Cdk2
N1.HOG0003359	Cdk1
N1.HOG0003360	CG17048,CG46383
N1.HOG0003361	CG4306
N1.HOG0003362	CG32196
N1.HOG0003364	CG13527,CG4477,CG18223
N1.HOG0003365	CG32055
N1.HOG0003366	CG6749
N1.HOG0003367	Pka-C2
N1.HOG0003368	CG12069
N1.HOG0003369	CG11398
N1.HOG0003370	CG15336
N1.HOG0003375	S-Lap1,S-Lap2
N1.HOG0003387	Arf4
N1.HOG0003404	vrs
N1.HOG0003407	Den1
N1.HOG0003408	CG16781,CG9855
N1.HOG0003409	Eig71Ea,Eig71Ed,Eig71Ef,Eig71Eh,Eig71Ej
N1.HOG0003418	CG9010
N1.HOG0003419	Gapdh1,Gapdh2
N1.HOG0003421	Alp7
N1.HOG0003422	Alp8,Alp2
N1.HOG0003423	Mur11Da
N1.HOG0003424	CG32642,CG12716
N1.HOG0003425	AstA-R2
N1.HOG0003430	AstA-R1
N1.HOG0003437	CG34181,CG12439
N1.HOG0003438	CG42592
N1.HOG0003439	CG32483
N1.HOG0003442	hiro
N1.HOG0003443	Rab5
N1.HOG0003445	Pkcdelta
N1.HOG0003451	Pkc98E
N1.HOG0003453	zuc
N1.HOG0003454	colt
N1.HOG0003455	MME1
N1.HOG0003456	CCKLR-17D1
N1.HOG0003457	CCKLR-17D3
N1.HOG0003461	Got1
N1.HOG0003467	Ca-alpha1D
N1.HOG0003468	nom,ouib
N1.HOG0003469	CG8159
N1.HOG0003472	Svil
N1.HOG0003473	ranshi,M1BP
N1.HOG0003474	Dic2
N1.HOG0003475	Dic1
N1.HOG0003476	CG4438,CG11444
N1.HOG0003485	CG4004
N1.HOG0003489	eIF3g2
N1.HOG0003492	eIF3g1
N1.HOG0003493	CG10459
N1.HOG0003494	wmd
N1.HOG0003496	Obp83a
N1.HOG0003497	Obp83b
N1.HOG0003498	CG3107
N1.HOG0003502	CG43328
N1.HOG0003503	CG15296
N1.HOG0003504	QIL1
N1.HOG0003505	Ir48c
N1.HOG0003506	Ir48b
N1.HOG0003507	Argk2
N1.HOG0003510	Argk1
N1.HOG0003513	wrd
N1.HOG0003515	CG34432,CG34433
N1.HOG0003516	CG14315
N1.HOG0003517	CG8138
N1.HOG0003518	PIG-Wa,PIG-Wb
N1.HOG0003519	CG15767
N1.HOG0003523	CG30350
N1.HOG0003532	hll
N1.HOG0003533	bgm
N1.HOG0003534	CG17636
N1.HOG0003535	Ggt-1
N1.HOG0003536	betaGlu
N1.HOG0003537	CG15117
N1.HOG0003538	Mst98Cb,Mst98Ca
N1.HOG0003540	CG6330
N1.HOG0003541	CG3788
N1.HOG0003542	NetA
N1.HOG0003544	NetB
N1.HOG0003545	CG14694,CG6574
N1.HOG0003546	term,CG7271,CG6885
N1.HOG0003548	CG14352
N1.HOG0003551	eEF1alpha2
N1.HOG0003556	eEF1alpha1
N1.HOG0003559	Obp58b,Obp58c
N1.HOG0003561	mael
N1.HOG0003564	CG13051
N1.HOG0003565	CG13069
N1.HOG0003578	CG8132
N1.HOG0003584	Obp99b
N1.HOG0003585	Obp99a
N1.HOG0003586	CG1339,CG31750
N1.HOG0003587	Ilp3
N1.HOG0003588	Ilp1
N1.HOG0003589	hbs
N1.HOG0003594	sns
N1.HOG0003596	CG31097,CG31288
N1.HOG0003597	CG30054,CG17760,Galphaq
N1.HOG0003599	CG6830,CG6834
N1.HOG0003600	CG8586,CG8738
N1.HOG0003601	CG4563
N1.HOG0003602	SdhBL
N1.HOG0003603	SdhB
N1.HOG0003604	Try29F
N1.HOG0003605	CG31954
N1.HOG0003606	CG3085
N1.HOG0003607	CG34443
N1.HOG0003608	CG34184,CG34442
N1.HOG0003609	CG7366,CG8006
N1.HOG0003611	CadN2
N1.HOG0003620	CadN
N1.HOG0003623	CG7907,Cbp80
N1.HOG0003632	Jupiter
N1.HOG0003633	CG32413,QC
N1.HOG0003634	gammaTub37C
N1.HOG0003638	gammaTub23C
N1.HOG0003641	CG7251,CG14011
N1.HOG0003642	CG9582,CG5254
N1.HOG0003643	gskt
N1.HOG0003645	sgg
N1.HOG0003648	CG34324
N1.HOG0003649	CG34220
N1.HOG0003650	Cyp28a5
N1.HOG0003651	Abcd1
N1.HOG0003652	Abcd3
N1.HOG0003654	DIP-epsilon
N1.HOG0003660	DIP-zeta
N1.HOG0003662	Or67d
N1.HOG0003668	CG10147
N1.HOG0003669	mAcon1,mAcon2
N1.HOG0003670	CG17564,CG10750
N1.HOG0003671	GstZ1,GstZ2
N1.HOG0003674	Ulp1
N1.HOG0003676	Ae2
N1.HOG0003677	Ndae1
N1.HOG0003681	Cpr78Cc
N1.HOG0003684	Edg78E
N1.HOG0003685	Mov10
N1.HOG0003687	CG17237
N1.HOG0003690	Mlc-c
N1.HOG0003691	CG8093
N1.HOG0003693	Lip3
N1.HOG0003694	CG17919
N1.HOG0003695	CG10298
N1.HOG0003698	ScpX,CG17597
N1.HOG0003699	Alp5
N1.HOG0003700	Alp9
N1.HOG0003701	CG31245
N1.HOG0003702	CG3581,CG31404
N1.HOG0003703	mrva
N1.HOG0003704	CG12194
N1.HOG0003705	Orct2
N1.HOG0003706	Orct
N1.HOG0003707	Ppm1,CG17746
N1.HOG0003708	CG10104
N1.HOG0003709	cathD
N1.HOG0003710	U2af50,LS2
N1.HOG0003711	Best4
N1.HOG0003712	Best3
N1.HOG0003714	Rpt4
N1.HOG0003715	Rpt4R
N1.HOG0003716	CG31624,CG31988
N1.HOG0003717	CG34325
N1.HOG0003720	sesB
N1.HOG0003722	Ant2
N1.HOG0003725	CRAT,CG5122,CG5265
N1.HOG0003728	fred
N1.HOG0003731	ed
N1.HOG0003732	CG5945
N1.HOG0003733	CG5867
N1.HOG0003734	ttm2
N1.HOG0003735	ttm50
N1.HOG0003736	ATPsynbetaL
N1.HOG0003737	ATPsynbeta
N1.HOG0003738	CG34334,RnpS1
N1.HOG0003740	eEF5
N1.HOG0003744	wek,CG17568
N1.HOG0003746	Rac1
N1.HOG0003747	Rac2
N1.HOG0003749	ms(3)76Cc
N1.HOG0003750	CG4669
N1.HOG0003751	CG6262,Treh
N1.HOG0003766	Sumo
N1.HOG0003770	AANATL2
N1.HOG0003774	Atg8a
N1.HOG0003775	Atg8b
N1.HOG0003776	CG13380
N1.HOG0003777	NKCC
N1.HOG0003778	Ncc69
N1.HOG0003779	CG8800
N1.HOG0003780	CG10839
N1.HOG0003781	CG33269,CG33500,CG33272,CG33271,CG33270
N1.HOG0003782	Ect3
N1.HOG0003783	Gal
N1.HOG0003784	CG5111,CG15445
N1.HOG0003794	Hsc70-1
N1.HOG0003795	Hsc70-4
N1.HOG0003796	CG4456
N1.HOG0003797	CG12279
N1.HOG0003798	Bug22
N1.HOG0003799	CG17118
N1.HOG0003801	tomboy40
N1.HOG0003802	Tom40
N1.HOG0003803	CG12679
N1.HOG0003804	CG14269
N1.HOG0003805	pcm
N1.HOG0003806	Rat1
N1.HOG0003809	Ance-2
N1.HOG0003810	Ance
N1.HOG0003811	Taf6,mia
N1.HOG0003812	CG33340
N1.HOG0003813	CG2127
N1.HOG0003814	CG3544
N1.HOG0003815	CG3534
N1.HOG0003816	CG9289
N1.HOG0003817	CG9287
N1.HOG0003818	CG8664,CG5107
N1.HOG0003819	ND-49L
N1.HOG0003820	ND-49
N1.HOG0003821	CG4408
N1.HOG0003822	CG2915
N1.HOG0003823	Grx1,Grx1t
N1.HOG0003826	CG12493,blanks
N1.HOG0003827	DIP1
N1.HOG0003828	CalpA
N1.HOG0003829	CalpB
N1.HOG0003830	CG17754
N1.HOG0003831	Cyp309a1,Cyp309a2
N1.HOG0003832	CG8008,CG15553
N1.HOG0003833	CG16758,CG18128
N1.HOG0003834	Adh
N1.HOG0003837	Galphao
N1.HOG0003839	Galphai
N1.HOG0003840	CG10996,CG4988,CG32444
N1.HOG0003841	CG4820,CG17806,Nnk
N1.HOG0003844	Or67a
N1.HOG0003845	CG33791
N1.HOG0003846	Ogdh
N1.HOG0003847	18w
N1.HOG0003848	Toll-7
N1.HOG0003849	CG7054,Pebp1
N1.HOG0003850	CG9649,CG31326
N1.HOG0003851	Crtp
N1.HOG0003853	Vsx2
N1.HOG0003860	Vsx1
N1.HOG0003862	Ctr1C
N1.HOG0003864	Ctr1A
N1.HOG0003865	CG31343
N1.HOG0003866	CG31233
N1.HOG0003870	Sodh-1,Sodh-2
N1.HOG0003873	CG11560,ssp
N1.HOG0003875	CG34116
N1.HOG0003876	CG9314
N1.HOG0003877	Cat
N1.HOG0003878	Alp1
N1.HOG0003879	phu
N1.HOG0003880	Gs2
N1.HOG0003881	Gs1
N1.HOG0003883	d-cup
N1.HOG0003884	sowi,CG15177,sunz
N1.HOG0003885	Ubc84D
N1.HOG0003886	Ubc10
N1.HOG0003887	Pen
N1.HOG0003889	Pde11
N1.HOG0003891	CG30384
N1.HOG0003892	CG33140
N1.HOG0003893	Rh4
N1.HOG0003894	Rh3
N1.HOG0003902	CG44422
N1.HOG0003909	Ddr
N1.HOG0003913	DIP-beta
N1.HOG0003922	DIP-alpha
N1.HOG0003923	GstO3
N1.HOG0003924	se
N1.HOG0003925	Prat
N1.HOG0003926	Prat2
N1.HOG0003927	CG17974
N1.HOG0003928	CG9822
N1.HOG0003929	CG18130
N1.HOG0003930	CG14221
N1.HOG0003931	Swip-1,CG14861
N1.HOG0003932	AhcyL1
N1.HOG0003933	AhcyL2
N1.HOG0003934	LpR2,LpR1
N1.HOG0003936	Rpn13R
N1.HOG0003938	Rpn13
N1.HOG0003941	Pkc53E
N1.HOG0003942	inaC
N1.HOG0003944	Ptp4E
N1.HOG0003947	Vha36-1
N1.HOG0003948	Vha36-3
N1.HOG0003950	CG13029,CG17198,CG17197,CG17196,CG17195,CG4956
N1.HOG0003951	Taf5
N1.HOG0003953	can
N1.HOG0003955	CG31345
N1.HOG0003956	CG10126
N1.HOG0003960	CG7458
N1.HOG0003962	Rpt3R
N1.HOG0003964	Rpt3
N1.HOG0003965	alpha-Est8
N1.HOG0003966	alpha-Est9
N1.HOG0003967	CG14196
N1.HOG0003968	out
N1.HOG0003969	eIF4H1,eIF4H2
N1.HOG0003971	RluA-2
N1.HOG0003975	RluA-1
N1.HOG0003979	Vha100-4
N1.HOG0003980	Vha100-2
N1.HOG0003982	CG3819
N1.HOG0003983	CG6839
N1.HOG0003984	Hrb98DE
N1.HOG0003985	Hrb87F
N1.HOG0003986	CG11889,CG11878
N1.HOG0003987	CG32054,CG42825
N1.HOG0003990	CG3092
N1.HOG0003991	CG30412
N1.HOG0003994	CG42505
N1.HOG0003995	CG13970
N1.HOG0003996	Nsf2
N1.HOG0003997	comt
N1.HOG0003998	Cyp6w1
N1.HOG0003999	CG9961
N1.HOG0004000	Pgk
N1.HOG0004001	CG9733
N1.HOG0004002	CG9737
N1.HOG0004003	Trxr-2
N1.HOG0004004	Trxr-1
N1.HOG0004005	JhI-26
N1.HOG0004006	tld
N1.HOG0004007	tok
N1.HOG0004008	Sry-alpha
N1.HOG0004009	Spt
N1.HOG0004010	ND-20,ND-20L
N1.HOG0004011	CG31802
N1.HOG0004013	CG17493
N1.HOG0004017	HisCl1
N1.HOG0004018	ort
N1.HOG0004020	CRMP
N1.HOG0004021	CG6888
N1.HOG0004022	Jafrac1
N1.HOG0004023	Bro
N1.HOG0004024	Fit2
N1.HOG0004025	Fit1
N1.HOG0004026	beat-Vb
N1.HOG0004027	beat-Va
N1.HOG0004028	CG17003
N1.HOG0004029	Atat
N1.HOG0004031	CG7900
N1.HOG0004032	CG7910
N1.HOG0004034	Mdr65,CG10226
N1.HOG0004035	Arpc3B,Arpc3A
N1.HOG0004036	CG9522
N1.HOG0004037	CG12539
N1.HOG0004039	CG2811
N1.HOG0004040	Tina-1
N1.HOG0004041	H15
N1.HOG0004042	mid
N1.HOG0004043	Pld3,CG43345
N1.HOG0004044	CG5326
N1.HOG0004045	sit
N1.HOG0004047	dnt
N1.HOG0004048	FASN2
N1.HOG0004049	FASN1
N1.HOG0004050	CG32087
N1.HOG0004051	Tango5
N1.HOG0004052	Cpr47Ec
N1.HOG0004053	Cpr47Eb
N1.HOG0004055	ATPsynG
N1.HOG0004056	ATPsynGL
N1.HOG0004057	Cpr30B
N1.HOG0004058	Cpr30F
N1.HOG0004059	blp,CG1409
N1.HOG0004060	SdhCL
N1.HOG0004061	SdhC
N1.HOG0004062	GluRIA
N1.HOG0004064	CG34261
N1.HOG0004065	CG33054
N1.HOG0004066	ey
N1.HOG0004068	Rab8
N1.HOG0004069	Rab10
N1.HOG0004071	Nepl12,Nep7
N1.HOG0004072	Ald1,Ald2
N1.HOG0004073	VhaPPA1-2
N1.HOG0004074	VhaPPA1-1
N1.HOG0004076	ppk5
N1.HOG0004077	ppk12
N1.HOG0004078	Cpr56F
N1.HOG0004079	resilin
N1.HOG0004080	CG17826,CG31077
N1.HOG0004081	Ubi-p63E
N1.HOG0004084	Ubi-p5E
N1.HOG0004098	PCNA2,PCNA
N1.HOG0004100	Frq1
N1.HOG0004101	Frq2
N1.HOG0004102	kirre
N1.HOG0004103	rst
N1.HOG0004104	robo3
N1.HOG0004112	TkR86C
N1.HOG0004114	Pepck2
N1.HOG0004115	Pepck1
N1.HOG0004117	CG12464
N1.HOG0004118	CG11815
N1.HOG0004119	CG17380,CG31609,CG31515
N1.HOG0004123	CG30275
N1.HOG0004124	CG30268
N1.HOG0004125	Cpr47Ef,Cpr49Ae
N1.HOG0004126	CG34169,CG34106,CG3611
N1.HOG0004127	B-H2
N1.HOG0004128	B-H1
N1.HOG0004129	mey
N1.HOG0004130	nyo
N1.HOG0004132	Sirup,CG15283
N1.HOG0004134	CG1231
N1.HOG0004135	dbf
N1.HOG0004139	stai,CG31642
N1.HOG0004141	Pglym78,Pglym87
N1.HOG0004142	Hez
N1.HOG0004143	Lsm12a
N1.HOG0004144	CG34130,CG34129
N1.HOG0004145	Agpat3,Agpat4
N1.HOG0004146	Rcd2
N1.HOG0004147	CG13252
N1.HOG0004148	Hou,CG18467
N1.HOG0004149	Dpy-30L2
N1.HOG0004150	Dpy-30L1
N1.HOG0004151	CG4766
N1.HOG0004152	mab-21
N1.HOG0004154	beta-Man
N1.HOG0004155	Sfp38D,CG43090,CG43074,CG17472,CG31680,CG33325
N1.HOG0004157	CG16756
N1.HOG0004158	CG16799
N1.HOG0004159	Tep2,Tep1
N1.HOG0004160	CG13280
N1.HOG0004161	CG3609
N1.HOG0004163	Piezo
N1.HOG0004165	ND-B14.5A
N1.HOG0004166	ND-B14.5AL
N1.HOG0004168	disco
N1.HOG0004169	disco-r
N1.HOG0004170	CG16813,CG16815
N1.HOG0004172	CG14340
N1.HOG0004173	Fatp2
N1.HOG0004175	Gfat2
N1.HOG0004176	Gfat1
N1.HOG0004177	CG34021,CG34012
N1.HOG0004178	CG4465
N1.HOG0004179	CG4462
N1.HOG0004180	CG18745,CG18746
N1.HOG0004181	CG17027,CG17026
N1.HOG0004182	CG1889
N1.HOG0004183	CG1791
N1.HOG0004185	CG6628
N1.HOG0004187	trv
N1.HOG0004188	CG41128,CG13564,CG12479
N1.HOG0004189	I-3
N1.HOG0004190	CG13994
N1.HOG0004191	TpnC73F
N1.HOG0004192	TpnC47D
N1.HOG0004193	fne
N1.HOG0004197	stw
N1.HOG0004206	CG31559
N1.HOG0004207	CG12206
N1.HOG0004208	Naa30A
N1.HOG0004209	Naa30B
N1.HOG0004211	Sema2a
N1.HOG0004213	beat-IIb
N1.HOG0004214	beat-IIa
N1.HOG0004215	CG32107
N1.HOG0004216	CG11374
N1.HOG0004217	galectin
N1.HOG0004218	CG13614,CG33341
N1.HOG0004219	Hao
N1.HOG0004221	Rpt6R
N1.HOG0004222	Rpt6
N1.HOG0004223	CG30471,CG11353
N1.HOG0004224	CanB,CanB2
N1.HOG0004225	CG12895,CG14757
N1.HOG0004226	CG4483,CG5196
N1.HOG0004227	Cpr49Aa
N1.HOG0004229	Cpr65Az
N1.HOG0004230	janB,ocn,CG18662
N1.HOG0004231	CG31373
N1.HOG0004232	CG31278
N1.HOG0004233	CG13067
N1.HOG0004235	CG32266
N1.HOG0004236	CG31974,CG31975
N1.HOG0004237	CG10814
N1.HOG0004238	CG5321
N1.HOG0004240	cid
N1.HOG0004241	Prosbeta1
N1.HOG0004242	CG33296,CG13795,CG13793,CG13794
N1.HOG0004243	CG11162
N1.HOG0004244	CG1998
N1.HOG0004245	Cyt-c1L
N1.HOG0004246	Cyt-c1
N1.HOG0004247	CG32269
N1.HOG0004248	CG33160
N1.HOG0004249	az2
N1.HOG0004250	CG1602
N1.HOG0004251	CG14377,CG45069,CG14374
N1.HOG0004252	tbc
N1.HOG0004253	CG1695
N1.HOG0004254	Gyc89Da,Gyc89Db
N1.HOG0004255	CG12868,CG33469,CG33468
N1.HOG0004257	CG8517
N1.HOG0004258	CG8993
N1.HOG0004259	CG34423
N1.HOG0004260	CG13551
N1.HOG0004261	CG15646,CG12708
N1.HOG0004262	Prosalpha6,Prosalpha6T
N1.HOG0004265	CG44250
N1.HOG0004268	CG13321
N1.HOG0004269	CG9130,Bfc
N1.HOG0004270	NADK
N1.HOG0004271	CG33156
N1.HOG0004274	CG31086,CG32633
N1.HOG0004276	beat-IIIa
N1.HOG0004277	CG15756
N1.HOG0004278	Cpr12A
N1.HOG0004279	CG17999,CG9993
N1.HOG0004281	AsnS
N1.HOG0004282	ZnT33D
N1.HOG0004283	ZnT35C
N1.HOG0004284	EMC7
N1.HOG0004285	nmd,CG4701
N1.HOG0004286	CG13369,CG17010
N1.HOG0004287	phm
N1.HOG0004288	Cyp18a1
N1.HOG0004289	Trf5
N1.HOG0004290	Trf4
N1.HOG0004291	CG18547,CG3397
N1.HOG0004292	CG42814
N1.HOG0004293	CG42813
N1.HOG0004294	CG33258,CG13075
N1.HOG0004295	CG34015,CG15362
N1.HOG0004296	CG2104,Ptpa
N1.HOG0004297	Sbat
N1.HOG0004299	ea
N1.HOG0004300	CG11898
N1.HOG0004301	CG10505
N1.HOG0004302	pain
N1.HOG0004303	CG42402
N1.HOG0004306	CCT6
N1.HOG0004307	CG18469,CG12699
N1.HOG0004308	Ir76a
N1.HOG0004309	Ir41a
N1.HOG0004310	Cpr64Ab
N1.HOG0004311	Cpr64Ad
N1.HOG0004312	Edg84A
N1.HOG0004313	Ccp84Ag
N1.HOG0004314	PRY
N1.HOG0004315	CG42685
N1.HOG0004316	CG30048
N1.HOG0004317	CG6041,CG32755
N1.HOG0004320	CG34460
N1.HOG0004323	tsr
N1.HOG0004329	CG6873
N1.HOG0004332	CG33985,obst-H
N1.HOG0004346	Taf7
N1.HOG0004347	GluRIIE
N1.HOG0004348	GluRIID
N1.HOG0004349	CG3592,CG10337
N1.HOG0004352	Rab7
N1.HOG0004356	Rab1
N1.HOG0004359	Rab9Fb
N1.HOG0004361	Ekar
N1.HOG0004362	CG11155
N1.HOG0004365	RpS5a
N1.HOG0004366	RpS5b
N1.HOG0004368	CG31789
N1.HOG0004371	CG13323,CG13324
N1.HOG0004381	sick
N1.HOG0004384	Vha14-1
N1.HOG0004388	Vha14-2
N1.HOG0004389	Shawn,CG2616
N1.HOG0004390	CARPA
N1.HOG0004391	CARPB
N1.HOG0004392	Ir94d
N1.HOG0004393	Ir94e
N1.HOG0004394	robls54B
N1.HOG0004395	CG10822
N1.HOG0004396	CG14717
N1.HOG0004398	CG2059
N1.HOG0004399	CG13137
N1.HOG0004400	Aladin
N1.HOG0004412	CG4835,CG7248
N1.HOG0004413	nonA-l,nonA
N1.HOG0004414	Tsp3A
N1.HOG0004418	eIF1
N1.HOG0004419	Acbp3
N1.HOG0004428	Acbp4
N1.HOG0004430	CG17819,dnd
N1.HOG0004431	Or94a,Or94b
N1.HOG0004434	CG15143,CG15144,CG15145
N1.HOG0004437	CG32298
N1.HOG0004438	CG32299
N1.HOG0004439	ND-24
N1.HOG0004441	ND-24L
N1.HOG0004443	CG2233
N1.HOG0004444	Zip42C.1
N1.HOG0004445	Zip42C.2
N1.HOG0004447	CG1139
N1.HOG0004448	CG32079
N1.HOG0004449	CG14443
N1.HOG0004450	Rm62
N1.HOG0004451	CG4854
N1.HOG0004453	CG4936
N1.HOG0004454	CG32182,CG32181
N1.HOG0004455	CG7130,CG32640,CG32641
N1.HOG0004457	Mics1
N1.HOG0004458	CG2076
N1.HOG0004463	dnc
N1.HOG0004466	MICU1,CG4704
N1.HOG0004470	CG11041,CG9406
N1.HOG0004473	Muc96D
N1.HOG0004477	Muc26B
N1.HOG0004479	barr
N1.HOG0004487	Asciz,CG14451
N1.HOG0004488	fd96Cb
N1.HOG0004489	fd96Ca
N1.HOG0004491	Gpdh3
N1.HOG0004492	Gpdh1
N1.HOG0004493	CG11929,CG15631
N1.HOG0004496	Jasper
N1.HOG0004497	Efr
N1.HOG0004498	cuff
N1.HOG0004501	CG42494,CG14957,CG32284
N1.HOG0004504	AGO2
N1.HOG0004505	CG31690
N1.HOG0004506	CG4341
N1.HOG0004507	CG34040
N1.HOG0004508	CG4363
N1.HOG0004509	dpr3
N1.HOG0004510	dpr2
N1.HOG0004511	Fkbp39
N1.HOG0004512	CG43350,CG16704
N1.HOG0004513	pyr
N1.HOG0004514	ths
N1.HOG0004516	P32
N1.HOG0004518	Ir56a
N1.HOG0004519	CG33965,CG31636
N1.HOG0004520	otu,CG3251
N1.HOG0004521	CG7120
N1.HOG0004525	nAChRalpha4
N1.HOG0004529	CG3795
N1.HOG0004530	CG17028,CG17029
N1.HOG0004531	CG31296
N1.HOG0004532	zetaTry
N1.HOG0004533	etaTry
N1.HOG0004534	CG44247
N1.HOG0004535	Atf-2
N1.HOG0004536	CG34260
N1.HOG0004537	NimC1
N1.HOG0004540	CG40045
N1.HOG0004541	Ubc87F
N1.HOG0004542	CG15450
N1.HOG0004543	Gpat4
N1.HOG0004544	CG12645,CG13516
N1.HOG0004545	Gr98a
N1.HOG0004546	Nepl20,Nepl21
N1.HOG0004553	BoYb
N1.HOG0004554	Cyp9b1,Cyp9b2
N1.HOG0004560	Snap25
N1.HOG0004561	Snap24
N1.HOG0004562	CG5676
N1.HOG0004563	CG12511
N1.HOG0004564	RNASEK
N1.HOG0004565	CG11269
N1.HOG0004567	CG7166
N1.HOG0004568	klg
N1.HOG0004569	CG43773,CG43774
N1.HOG0004573	CG7694
N1.HOG0004574	aub
N1.HOG0004576	sov
N1.HOG0004579	Ugt36D1,Ugt36E1
N1.HOG0004580	CG3473
N1.HOG0004587	ben
N1.HOG0004591	boil
N1.HOG0004592	CG15472
N1.HOG0004593	Ubc4
N1.HOG0004594	SdhAL
N1.HOG0004595	SdhA
N1.HOG0004596	CG5897,CG6933
N1.HOG0004597	r2d2
N1.HOG0004598	Prosbeta7
N1.HOG0004599	PPYR1,vig2
N1.HOG0004603	CG3526
N1.HOG0004604	CG8673,CG8668
N1.HOG0004605	CG44153
N1.HOG0004610	CG13116
N1.HOG0004611	CG9521
N1.HOG0004612	CG9519
N1.HOG0004614	Snmp1
N1.HOG0004615	CG34291,CG6503
N1.HOG0004618	pum
N1.HOG0004622	Strica
N1.HOG0004625	CG34178
N1.HOG0004628	CG34211,CG34212,CG44142,CG45080
N1.HOG0004629	Ir11a
N1.HOG0004630	Ir7a
N1.HOG0004632	CG15395
N1.HOG0004633	mei-38
N1.HOG0004634	Fib,CG10909
N1.HOG0004635	CG6428,CG8526
N1.HOG0004640	alpha-Man-Ic
N1.HOG0004642	alpha-Man-Ia
N1.HOG0004643	Surf4
N1.HOG0004646	Gr39a
N1.HOG0004648	kl-3,Dhc1
N1.HOG0004649	CG15515
N1.HOG0004650	GC1
N1.HOG0004651	GC2
N1.HOG0004652	Cp1
N1.HOG0004653	CG45072
N1.HOG0004654	CG45073
N1.HOG0004655	lovit
N1.HOG0004656	Slc45-1
N1.HOG0004657	Tip60
N1.HOG0004658	CG7222,CG12231
N1.HOG0004661	CG7860
N1.HOG0004662	CG32320,CG6845
N1.HOG0004663	CG32036
N1.HOG0004664	CG32037
N1.HOG0004666	CG14778
